CP,Question,Value
11059001,Q01,5.0
10721537,Q01,2.0
10982920,Q01,4.0
10973270,Q01,8.0
10891772,Q01,8.0
10957468,Q01,5.0
10964364,Q01,7.0
10905376,Q01,8.0
11005263,Q01,8.0
11085914,Q01,2.0
10768299,Q01,4.0
10863784,Q01,8.0
11084143,Q01,1.0
10990247,Q01,7.0
10931911,Q01,7.0
10911340,Q01,7.0
11076121,Q01,8.0
10860093,Q01,8.0
10926469,Q01,7.0
11075247,Q01,1.0
10958126,Q01,8.0
11077429,Q01,5.0
10988637,Q01,7.0
11036224,Q01,7.0
10973288,Q01,5.0
10994493,Q01,6.0
11039271,Q01,1.0
10966596,Q01,8.0
10971887,Q01,8.0
11050119,Q01,8.0
10987774,Q01,0.0
10959983,Q01,6.0
10963055,Q01,5.0
10906095,Q01,6.0
10855754,Q01,8.0
10964091,Q01,7.0
10978972,Q01,6.0
11031168,Q01,8.0
11965339,Q01,3.0
10900748,Q01,7.0
10890950,Q01,7.0
11082723,Q01,6.0
10840136,Q01,5.0
10827903,Q01,6.0
10966781,Q01,5.0
10918146,Q01,5.0
10852080,Q01,8.0
11049120,Q01,4.0
10979198,Q01,4.0
10890370,Q01,6.0
10987783,Q01,8.0
11024911,Q01,7.0
10900738,Q01,8.0
10927690,Q01,3.0
10972130,Q01,8.0
10890550,Q01,7.0
11082123,Q01,1.0
10828903,Q01,7.0
10906860,Q01,6.0
10968781,Q01,2.0
10919146,Q01,4.0
11049520,Q01,1.0
10963307,Q01,8.0
10913225,Q01,4.0
10820370,Q01,5.0
10987223,Q01,6.0
11005111,Q01,8.0
11059001,Q02,2.0
10721537,Q02,5.0
10982920,Q02,7.0
10973270,Q02,4.0
10891772,Q02,8.0
10957468,Q02,4.0
10964364,Q02,5.0
10905376,Q02,7.0
11005263,Q02,8.0
11085914,Q02,6.0
10768299,Q02,3.0
10863784,Q02,5.0
11084143,Q02,4.0
10990247,Q02,4.0
10931911,Q02,7.0
10911340,Q02,7.0
11076121,Q02,8.0
10860093,Q02,8.0
10926469,Q02,4.0
11075247,Q02,4.0
10958126,Q02,8.0
11077429,Q02,2.0
10988637,Q02,7.0
11036224,Q02,8.0
10973288,Q02,4.0
10994493,Q02,3.0
11039271,Q02,3.0
10966596,Q02,7.0
10971887,Q02,4.0
11050119,Q02,5.0
10987774,Q02,7.0
10959983,Q02,3.0
10963055,Q02,7.0
10906095,Q02,6.0
10855754,Q02,7.0
10964091,Q02,2.0
10978972,Q02,7.0
11031168,Q02,6.0
11965339,Q02,6.0
10900748,Q02,6.0
10890950,Q02,7.0
11082723,Q02,7.0
10840136,Q02,7.0
10827903,Q02,5.0
10966781,Q02,1.0
10918146,Q02,4.0
10852080,Q02,8.0
11049120,Q02,3.0
10979198,Q02,2.0
10890370,Q02,7.0
10987783,Q02,8.0
11024911,Q02,7.0
10900738,Q02,0.0
10927690,Q02,3.0
10972130,Q02,2.0
10890550,Q02,2.0
11082123,Q02,6.0
10828903,Q02,7.0
10906860,Q02,8.0
10968781,Q02,6.0
10919146,Q02,6.0
11049520,Q02,1.0
10963307,Q02,3.0
10913225,Q02,7.0
10820370,Q02,6.0
10987223,Q02,4.0
11005111,Q02,1.0
11059001,Q03,7.0
10721537,Q03,4.0
10982920,Q03,4.0
10973270,Q03,6.0
10891772,Q03,8.0
10957468,Q03,6.0
10964364,Q03,5.0
10905376,Q03,7.0
11005263,Q03,8.0
11085914,Q03,1.0
10768299,Q03,6.0
10863784,Q03,8.0
11084143,Q03,5.0
10990247,Q03,3.0
10931911,Q03,7.0
10911340,Q03,7.0
11076121,Q03,8.0
10860093,Q03,8.0
10926469,Q03,2.0
11075247,Q03,2.0
10958126,Q03,8.0
11077429,Q03,4.0
10988637,Q03,7.0
11036224,Q03,4.0
10973288,Q03,8.0
10994493,Q03,4.0
11039271,Q03,7.0
10966596,Q03,7.0
10971887,Q03,7.0
11050119,Q03,7.0
10987774,Q03,0.0
10959983,Q03,1.0
10963055,Q03,0.0
10906095,Q03,1.0
10855754,Q03,7.0
10964091,Q03,8.0
10978972,Q03,8.0
11031168,Q03,6.0
11965339,Q03,1.0
10900748,Q03,6.0
10890950,Q03,5.0
11082723,Q03,7.0
10840136,Q03,4.0
10827903,Q03,6.0
10966781,Q03,1.0
10918146,Q03,6.0
10852080,Q03,8.0
11049120,Q03,1.0
10979198,Q03,5.0
10890370,Q03,6.0
10987783,Q03,5.0
11024911,Q03,5.0
10900738,Q03,8.0
10927690,Q03,1.0
10972130,Q03,6.0
10890550,Q03,5.0
11082123,Q03,6.0
10828903,Q03,4.0
10906860,Q03,5.0
10968781,Q03,0.0
10919146,Q03,2.0
11049520,Q03,6.0
10963307,Q03,6.0
10913225,Q03,8.0
10820370,Q03,2.0
10987223,Q03,2.0
11005111,Q03,7.0
11059001,Q04,0.0
10721537,Q04,5.0
10982920,Q04,5.0
10973270,Q04,5.0
10891772,Q04,3.0
10957468,Q04,4.0
10964364,Q04,0.0
10905376,Q04,1.0
11005263,Q04,6.0
11085914,Q04,2.0
10768299,Q04,2.0
10863784,Q04,5.0
11084143,Q04,3.0
10990247,Q04,1.0
10931911,Q04,5.0
10911340,Q04,5.0
11076121,Q04,6.0
10860093,Q04,6.0
10926469,Q04,4.0
11075247,Q04,2.0
10958126,Q04,6.0
11077429,Q04,5.0
10988637,Q04,1.0
11036224,Q04,6.0
10973288,Q04,7.0
10994493,Q04,1.0
11039271,Q04,1.0
10966596,Q04,6.0
10971887,Q04,5.0
11050119,Q04,5.0
10987774,Q04,5.0
10959983,Q04,1.0
10963055,Q04,6.0
10906095,Q04,6.0
10855754,Q04,6.0
10964091,Q04,1.0
10978972,Q04,6.0
11031168,Q04,6.0
11965339,Q04,3.0
10900748,Q04,6.0
10890950,Q04,6.0
11082723,Q04,6.0
10840136,Q04,5.0
10827903,Q04,1.0
10966781,Q04,3.0
10918146,Q04,6.0
10852080,Q04,6.0
11049120,Q04,3.0
10979198,Q04,1.0
10890370,Q04,3.0
10987783,Q04,5.0
11024911,Q04,0.0
10900738,Q04,0.0
10927690,Q04,0.0
10972130,Q04,5.0
10890550,Q04,4.0
11082123,Q04,3.0
10828903,Q04,5.0
10906860,Q04,0.0
10968781,Q04,2.0
10919146,Q04,1.0
11049520,Q04,2.0
10963307,Q04,6.0
10913225,Q04,6.0
10820370,Q04,2.0
10987223,Q04,4.0
11005111,Q04,6.0
10721537,Q05,6.0
10966578,Q05,7.0
10957468,Q05,6.0
10964364,Q05,6.0
10768299,Q05,6.0
10614652,Q05,1.0
10928899,Q05,7.0
11051226,Q05,7.0
10892530,Q05,2.0
10957294,Q05,7.0
10990247,Q05,5.0
10891766,Q05,7.0
10545266,Q05,2.0
10892001,Q05,7.0
10926469,Q05,2.0
11075247,Q05,1.0
11077429,Q05,3.0
11003992,Q05,7.0
10994493,Q05,3.0
10892134,Q05,6.0
10987774,Q05,3.0
10978913,Q05,7.0
10964091,Q05,6.0
11024912,Q05,7.0
11965339,Q05,2.0
10891504,Q05,6.0
11081117,Q05,7.0
10966781,Q05,6.0
10979198,Q05,1.0
11005360,Q05,7.0
10905349,Q05,6.0
10848136,Q05,2.0
10852580,Q05,7.0
10820370,Q05,6.0
10987223,Q05,6.0
10721537,Q06,1.0
10966578,Q06,0.0
10957468,Q06,6.0
10964364,Q06,5.0
10768299,Q06,8.0
10614652,Q06,7.0
10928899,Q06,5.0
11051226,Q06,8.0
10892530,Q06,5.0
10957294,Q06,8.0
10990247,Q06,6.0
10891766,Q06,8.0
10545266,Q06,5.0
10892001,Q06,8.0
10926469,Q06,2.0
11075247,Q06,7.0
11077429,Q06,4.0
11003992,Q06,1.0
10994493,Q06,6.0
10892134,Q06,6.0
10987774,Q06,8.0
10978913,Q06,7.0
10964091,Q06,8.0
11024912,Q06,1.0
11965339,Q06,6.0
10891504,Q06,7.0
11081117,Q06,7.0
10966781,Q06,6.0
10979198,Q06,7.0
11005360,Q06,1.0
10905349,Q06,7.0
10848136,Q06,1.0
10852580,Q06,6.0
10820370,Q06,1.0
10987223,Q06,7.0
10721537,Q07,7.0
10966578,Q07,7.0
10957468,Q07,6.0
10964364,Q07,0.0
10768299,Q07,7.0
10614652,Q07,0.0
10928899,Q07,3.0
11051226,Q07,7.0
10892530,Q07,2.0
10957294,Q07,7.0
10990247,Q07,0.0
10891766,Q07,7.0
10545266,Q07,2.0
10892001,Q07,7.0
10926469,Q07,2.0
11075247,Q07,3.0
11077429,Q07,1.0
11003992,Q07,6.0
10994493,Q07,3.0
10892134,Q07,7.0
10987774,Q07,7.0
10978913,Q07,4.0
10964091,Q07,6.0
11024912,Q07,7.0
11965339,Q07,1.0
10891504,Q07,5.0
11081117,Q07,7.0
10966781,Q07,6.0
10979198,Q07,6.0
11005360,Q07,7.0
10905349,Q07,5.0
10848136,Q07,5.0
10852580,Q07,7.0
10820370,Q07,5.0
10987223,Q07,7.0
10721537,Q08,2.0
10966578,Q08,7.0
10957468,Q08,6.0
10964364,Q08,5.0
10768299,Q08,6.0
10614652,Q08,4.0
10928899,Q08,8.0
11051226,Q08,8.0
10892530,Q08,1.0
10957294,Q08,8.0
10990247,Q08,4.0
10891766,Q08,6.0
10545266,Q08,4.0
10892001,Q08,8.0
10926469,Q08,4.0
11075247,Q08,3.0
11077429,Q08,8.0
11003992,Q08,6.0
10994493,Q08,7.0
10892134,Q08,8.0
10987774,Q08,3.0
10978913,Q08,1.0
10964091,Q08,1.0
11024912,Q08,6.0
11965339,Q08,4.0
10891504,Q08,7.0
11081117,Q08,7.0
10966781,Q08,6.0
10979198,Q08,1.0
11005360,Q08,3.0
10905349,Q08,6.0
10848136,Q08,4.0
10852580,Q08,5.0
10820370,Q08,4.0
10987223,Q08,6.0
11059001,Q09,4.0
10721537,Q09,8.0
10964364,Q09,7.0
10890394,Q09,4.0
10614652,Q09,5.0
10990247,Q09,5.0
10998984,Q09,8.0
10926469,Q09,1.0
11075247,Q09,2.0
11073291,Q09,8.0
10820166,Q09,5.0
10772862,Q09,5.0
10828445,Q09,4.0
10964347,Q09,7.0
10927990,Q09,1.0
10972230,Q09,6.0
10908860,Q09,5.0
10960307,Q09,5.0
10979198,Q09,7.0
11082123,Q09,4.0
10848136,Q09,4.0
10828903,Q09,4.0
11086897,Q09,1.0
10820370,Q09,1.0
11059001,Q10,6.0
10721537,Q10,4.0
10964364,Q10,1.0
10890394,Q10,3.0
10614652,Q10,4.0
10990247,Q10,5.0
10998984,Q10,6.0
10926469,Q10,1.0
11075247,Q10,2.0
11073291,Q10,6.0
10820166,Q10,5.0
10772862,Q10,5.0
10828445,Q10,3.0
10964347,Q10,7.0
10927990,Q10,6.0
10972230,Q10,6.0
10908860,Q10,4.0
10960307,Q10,5.0
10979198,Q10,4.0
11082123,Q10,4.0
10848136,Q10,1.0
10828903,Q10,6.0
11086897,Q10,4.0
10820370,Q10,3.0
11059001,Q11,7.0
10721537,Q11,1.0
10964364,Q11,7.0
10890394,Q11,4.0
10614652,Q11,4.0
10990247,Q11,5.0
10998984,Q11,9.0
10926469,Q11,1.0
11075247,Q11,1.0
11073291,Q11,8.0
10820166,Q11,5.0
10772862,Q11,5.0
10828445,Q11,4.0
10964347,Q11,7.0
10927990,Q11,8.0
10972230,Q11,7.0
10908860,Q11,5.0
10960307,Q11,5.0
10979198,Q11,3.0
11082123,Q11,5.0
10848136,Q11,3.0
10828903,Q11,4.0
11086897,Q11,2.0
10820370,Q11,8.0
11059001,Q12,7.0
10721537,Q12,7.0
10964364,Q12,7.0
10890394,Q12,2.0
10614652,Q12,2.0
10990247,Q12,6.0
10998984,Q12,7.0
10926469,Q12,6.0
11075247,Q12,2.0
11073291,Q12,7.0
10820166,Q12,5.0
10772862,Q12,5.0
10828445,Q12,3.0
10964347,Q12,5.0
10927990,Q12,7.0
10972230,Q12,2.0
10908860,Q12,6.0
10960307,Q12,5.0
10979198,Q12,5.0
11082123,Q12,3.0
10848136,Q12,7.0
10828903,Q12,7.0
11086897,Q12,2.0
10820370,Q12,6.0
10721537,Q13,8.0
10982920,Q13,7.0
11061008,Q13,8.0
10905376,Q13,7.0
10918170,Q13,4.0
10614652,Q13,6.0
10905510,Q13,7.0
11075247,Q13,1.0
11077429,Q13,7.0
10828098,Q13,2.0
10800939,Q13,7.0
10912257,Q13,5.0
10965729,Q13,4.0
11965339,Q13,1.0
10786975,Q13,2.0
11085897,Q13,4.0
10786675,Q13,8.0
10927690,Q13,7.0
10848136,Q13,7.0
11049520,Q13,8.0
10929198,Q13,7.0
10721537,Q14,5.0
10982920,Q14,5.0
11061008,Q14,8.0
10905376,Q14,7.0
10918170,Q14,4.0
10614652,Q14,7.0
10905510,Q14,2.0
11075247,Q14,2.0
11077429,Q14,8.0
10828098,Q14,8.0
10800939,Q14,8.0
10912257,Q14,5.0
10965729,Q14,4.0
11965339,Q14,2.0
10786975,Q14,5.0
11085897,Q14,4.0
10786675,Q14,6.0
10927690,Q14,6.0
10848136,Q14,6.0
11049520,Q14,5.0
10929198,Q14,6.0
10721537,Q15,5.0
10982920,Q15,7.0
11061008,Q15,8.0
10905376,Q15,6.0
10918170,Q15,4.0
10614652,Q15,7.0
10905510,Q15,6.0
11075247,Q15,1.0
11077429,Q15,8.0
10828098,Q15,6.0
10800939,Q15,8.0
10912257,Q15,5.0
10965729,Q15,6.0
11965339,Q15,4.0
10786975,Q15,6.0
11085897,Q15,6.0
10786675,Q15,8.0
10927690,Q15,8.0
10848136,Q15,7.0
11049520,Q15,8.0
10929198,Q15,5.0
10721537,Q16,6.0
10982920,Q16,6.0
11061008,Q16,6.0
10905376,Q16,8.0
10918170,Q16,8.0
10614652,Q16,6.0
10905510,Q16,6.0
11075247,Q16,5.0
11077429,Q16,4.0
10828098,Q16,3.0
10800939,Q16,4.0
10912257,Q16,5.0
10965729,Q16,6.0
11965339,Q16,3.0
10786975,Q16,6.0
11085897,Q16,6.0
10786675,Q16,1.0
10927690,Q16,3.0
10848136,Q16,3.0
11049520,Q16,5.0
10929198,Q16,6.0
11078539,Q17,7.0
10913972,Q17,8.0
11085914,Q17,4.0
10890394,Q17,8.0
10965439,Q17,8.0
10928899,Q17,8.0
11084143,Q17,5.0
10809273,Q17,3.0
10926469,Q17,7.0
11075247,Q17,1.0
10828098,Q17,8.0
10996542,Q17,7.0
10891797,Q17,5.0
10964255,Q17,3.0
11056452,Q17,7.0
10987774,Q17,8.0
11060984,Q17,5.0
11965339,Q17,3.0
10905359,Q17,8.0
10786975,Q17,4.0
10918225,Q17,4.0
10891514,Q17,6.0
10900738,Q17,4.0
11005339,Q17,6.0
10890550,Q17,4.0
11082123,Q17,8.0
10968781,Q17,4.0
11078539,Q18,4.0
10913972,Q18,7.0
11085914,Q18,3.0
10890394,Q18,5.0
10965439,Q18,7.0
10928899,Q18,7.0
11084143,Q18,0.0
10809273,Q18,3.0
10926469,Q18,5.0
11075247,Q18,2.0
10828098,Q18,6.0
10996542,Q18,3.0
10891797,Q18,5.0
10964255,Q18,1.0
11056452,Q18,3.0
10987774,Q18,6.0
11060984,Q18,1.0
11965339,Q18,3.0
10905359,Q18,3.0
10786975,Q18,6.0
10918225,Q18,4.0
10891514,Q18,6.0
10900738,Q18,6.0
11005339,Q18,6.0
10890550,Q18,5.0
11082123,Q18,7.0
10968781,Q18,2.0
11078539,Q19,8.0
10913972,Q19,8.0
11085914,Q19,6.0
10890394,Q19,6.0
10965439,Q19,8.0
10928899,Q19,8.0
11084143,Q19,8.0
10809273,Q19,3.0
10926469,Q19,6.0
11075247,Q19,1.0
10828098,Q19,8.0
10996542,Q19,3.0
10891797,Q19,7.0
10964255,Q19,5.0
11056452,Q19,3.0
10987774,Q19,6.0
11060984,Q19,3.0
11965339,Q19,4.0
10905359,Q19,8.0
10786975,Q19,7.0
10918225,Q19,1.0
10891514,Q19,6.0
10900738,Q19,7.0
11005339,Q19,8.0
10890550,Q19,4.0
11082123,Q19,3.0
10968781,Q19,6.0
11078539,Q20,6.0
10913972,Q20,1.0
11085914,Q20,4.0
10890394,Q20,5.0
10965439,Q20,7.0
10928899,Q20,7.0
11084143,Q20,2.0
10809273,Q20,3.0
10926469,Q20,7.0
11075247,Q20,1.0
10828098,Q20,4.0
10996542,Q20,6.0
10891797,Q20,2.0
10964255,Q20,7.0
11056452,Q20,6.0
10987774,Q20,2.0
11060984,Q20,6.0
11965339,Q20,3.0
10905359,Q20,1.0
10786975,Q20,6.0
10918225,Q20,5.0
10891514,Q20,6.0
10900738,Q20,7.0
11005339,Q20,6.0
10890550,Q20,5.0
11082123,Q20,6.0
10968781,Q20,4.0
